[游客] [4/9/2018, 9:00:53 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[wangyu] [4/9/2018, 9:01:06 AM] [::ffff:210.13.80.220] [上海市:上海市] [POST] [http://www.cy.wtianyu.com:3060/doLogin] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[wangyu] [4/9/2018, 9:01:07 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[wangyu] [4/9/2018, 9:01:07 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/getTuiCool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[wangyu] [4/9/2018, 9:01:11 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[wangyu] [4/9/2018, 9:01:11 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/showNode?id=152318145252120059] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[wangyu] [4/9/2018, 9:01:17 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/getNodeList?catagoryId=149792238781230000] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[wangyu] [4/9/2018, 9:21:01 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/getNodeList?catagoryId=152151562027723085] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[wangyu] [4/9/2018, 9:21:02 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/getNodeList?catagoryId=152230842982923039] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[wangyu] [4/9/2018, 9:21:25 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/getNodeList?catagoryId=149792238781230004] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[wangyu] [4/9/2018, 9:21:33 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/getNodeList?catagoryId=152230842982923039] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
