[3/13/2018, 12:11:18 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36]
[3/13/2018, 12:11:33 PM] [::ffff:210.13.80.220] [上海市:上海市] [POST] [http://www.cy.wtianyu.com:3060/doLogin] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36]
[3/13/2018, 12:11:34 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36]
[3/13/2018, 12:11:35 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/getTuiCool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36]
[3/13/2018, 12:11:37 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36]
[3/13/2018, 12:11:38 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/showNode?id=152083349671120014] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36]
[3/13/2018, 12:11:40 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/add] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36]
[3/13/2018, 12:11:40 PM] [::ffff:210.13.80.220] [上海市:上海市] [POST] [http://www.cy.wtianyu.com:3060/getCatagoryNodes] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36]
[3/13/2018, 12:11:51 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/add] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36]
[3/13/2018, 12:11:51 PM] [::ffff:210.13.80.220] [上海市:上海市] [POST] [http://www.cy.wtianyu.com:3060/getCatagoryNodes] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36]
[3/13/2018, 12:11:55 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/catagoryManage] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36]
[3/13/2018, 12:11:55 PM] [::ffff:210.13.80.220] [上海市:上海市] [POST] [http://www.cy.wtianyu.com:3060/getCatagoryNodes] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36]
[3/13/2018, 12:12:06 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/addCatagory?catagory_id_parent=000000000000000000&catagory_name=新分类1] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36]
[3/13/2018, 12:12:13 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/addCatagory?catagory_id=152091432658923032&catagory_name=异常] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36]
