[8/8/2017, 8:53:49 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.221 Safari/537.36 SE 2.X MetaSr 1.0][8/8/2017, 8:53:50 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.221 Safari/537.36 SE 2.X MetaSr 1.0]
[8/8/2017, 9:40:22 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[8/8/2017, 9:40:22 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/showNode?id=150215631241020042] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[8/8/2017, 9:40:27 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/nextNode?number=67] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[8/8/2017, 9:40:31 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[8/8/2017, 9:40:31 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/showNode?id=150215631241020042] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[8/8/2017, 9:40:34 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[8/8/2017, 9:40:34 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/showNode?id=150215631241020042] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[8/8/2017, 9:42:17 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/nextNode?number=67] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[8/8/2017, 10:16:17 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/add] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[8/8/2017, 10:21:21 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/add] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[8/8/2017, 10:23:25 AM] [::ffff:210.13.80.220] [POST] [http://www.cy.wtianyu.com:3060/doAdd] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[8/8/2017, 10:23:27 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[8/8/2017, 10:23:27 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/showNode?id=150215900580720095] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[8/8/2017, 10:47:04 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/add] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[8/8/2017, 10:51:45 AM] [::ffff:210.13.80.220] [POST] [http://www.cy.wtianyu.com:3060/doAdd] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[8/8/2017, 10:51:47 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[8/8/2017, 10:51:48 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/showNode?id=150216070583420025] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
