[游客] [7/30/2018, 9:43:53 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[游客] [7/30/2018, 11:26:43 AM] [::ffff:141.8.142.136] [:] [GET] [http://www.al.wtianyu.com:3060/robots.txt] [Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)]
[游客] [7/30/2018, 11:26:46 AM] [::ffff:141.8.142.136] [:] [GET] [http://www.al.wtianyu.com:3060/] [Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)]
[游客] [7/30/2018, 2:10:33 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[游客] [7/30/2018, 2:10:51 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/gt/register-fullpage?t=1532931049667] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/30/2018, 2:11:07 PM] [::ffff:210.13.80.220] [上海市:上海市] [POST] [http://www.al.wtianyu.com:3060/doLogin] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/30/2018, 2:11:08 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/30/2018, 2:11:10 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getTuiCool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/30/2018, 2:11:13 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/30/2018, 2:11:20 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/search] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36][wangyu] [7/30/2018, 2:11:20 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153242179305120045] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]

[wangyu] [7/30/2018, 2:11:34 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getNodeList?catagoryId=152757706778423067] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/30/2018, 2:11:38 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=152757712184120063] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/30/2018, 2:11:39 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/add] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/30/2018, 2:11:45 PM] [::ffff:210.13.80.220] [上海市:上海市] [POST] [http://www.al.wtianyu.com:3060/getCatagoryNodes] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/30/2018, 2:14:29 PM] [::ffff:210.13.80.220] [上海市:上海市] [POST] [http://www.al.wtianyu.com:3060/doAdd] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/30/2018, 2:14:30 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/30/2018, 2:14:34 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153293126934620092] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/30/2018, 2:14:34 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/search] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
