[wangyu] [7/9/2018, 9:09:03 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153109840154120041] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/9/2018, 9:10:13 AM] [::ffff:210.13.80.220] [上海市:上海市] [POST] [http://www.al.wtianyu.com:3060/doAdd] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/9/2018, 9:10:14 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/9/2018, 9:10:15 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153109840154120041] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/9/2018, 9:10:15 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/search] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/9/2018, 9:11:05 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getNodeList?catagoryId=153059662991723060] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/9/2018, 9:11:07 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153068848575720081] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[游客] [7/9/2018, 12:17:39 PM] [::ffff:106.14.217.247] [:] [GET] [http://www.al.wtianyu.com:3060/] [Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 Firefox/36.0]
[wangyu] [7/9/2018, 4:31:58 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getNodeList?catagoryId=153059662991723060] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/9/2018, 4:32:00 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153067077287620040] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/9/2018, 4:32:01 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153067077287620040] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/9/2018, 4:32:02 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153067077287620040] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/9/2018, 5:53:51 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153068848575720081] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[游客] [7/9/2018, 8:47:48 PM] [::ffff:188.32.76.34] [:] [GET] [http://www.al.wtianyu.com:3060/node/add] [Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0; Touch; MASMJS)]
[游客] [7/9/2018, 8:47:56 PM] [::ffff:188.32.76.34] [:] [GET] [http://www.al.wtianyu.com:3060/gt/register-slide?t=1531126075086] [Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0; Touch; MASMJS)]
